method,z,significance,profit-min,profit-max,profit-mean,profit-median,profit-var,profit-std,profit-skew,profit-kurt,excessProfit-min,excessProfit-max,excessProfit-mean,excessProfit-median,excessProfit-var,excessProfit-std,excessProfit-skew,excessProfit-kurt,success-min,success-max,success-mean,success-median,success-var,success-std,success-skew,success-kurt,frequency-min,frequency-max,frequency-mean,frequency-median,frequency-var,frequency-std,frequency-skew,frequency-kurt,fee-min,fee-max,fee-mean,fee-median,fee-var,fee-std,fee-skew,fee-kurt,frequencyBuy-min,frequencyBuy-max,frequencyBuy-mean,frequencyBuy-median,frequencyBuy-var,frequencyBuy-std,frequencyBuy-skew,frequencyBuy-kurt,frequencySell-min,frequencySell-max,frequencySell-mean,frequencySell-median,frequencySell-var,frequencySell-std,frequencySell-skew,frequencySell-kurt
DMI-ROC,56.16080959,***,-0.275180754,3.165468878,0.265679166,0.2284591,0.068147136,0.261050063,2.032837583,10.98367248,-3.049172353,3.170290539,0.179185438,0.162231098,0.101797873,0.319057789,0.276603312,9.155592675,0,0.789432135,0.337018733,0.354136559,0.00992371,0.099617821,-1.156155672,2.449643137,1,704,154.6886,135,11726.52948,108.2891014,1.069756721,1.296509348,10.636423,690476.0958,4813.113265,1991.482334,274754514.2,16575.72062,16.01352207,421.1126092,1,358,85.4971,77,3073.035695,55.43496816,0.960346741,1.040701549,0,346,69.1915,58,2884.7211,53.7095997,1.149814949,1.484766302
BOLL-ROC,55.43250895,***,-0.218739161,1.745355802,0.255796894,0.224078414,0.057978183,0.240786593,0.933264325,1.494631212,-2.92466588,1.746478792,0.169303165,0.161492234,0.093282695,0.305422158,-0.543983144,5.792845019,0,0.736803326,0.399102161,0.4199965,0.010057515,0.100287161,-1.583755522,4.093912993,1,1433,240.852,203,32709.91669,180.8588308,1.337818538,2.473767444,13.7488657,1039927.661,7035.333683,2717.515556,600999190.9,24515.28484,16.50770101,446.7173272,1,740,124.9716,108,7854.336227,88.6246931,1.317833052,2.640434381,0,693,115.8804,95,8647.876283,92.99395832,1.344793096,2.324467553
DMI,54.55846178,***,-0.228423307,2.822478124,0.248639207,0.219007793,0.054272175,0.232963891,1.407931255,5.60362003,-2.806637353,2.986771835,0.162145478,0.157413525,0.088325367,0.297195839,-0.314574179,7.873066782,0,0.714234698,0.345790384,0.365379345,0.0088274,0.093954243,-1.609049973,3.944441486,1,1316,213.7644,183,25571.34863,159.9104394,1.406053134,3.226250429,10.2193196,862971.0562,6370.363199,2456.126398,502528857,22417.15542,15.89301748,387.6813077,1,646,113.2092,99,6211.134949,78.81075402,1.298038824,2.847460377,0,670,100.5552,84,6680.157369,81.73222968,1.489473622,3.531125526
MACD-DMI,43.75003028,***,-0.223934737,2.494469341,0.215279809,0.169057091,0.052037387,0.228117046,1.643692243,5.658503917,-2.844928502,2.257354955,0.12878608,0.114662451,0.086652508,0.29436798,-0.251045411,7.519402622,0,0.785658167,0.316890019,0.335997312,0.014332339,0.119717748,-0.725966303,0.801600463,0,476,97.4375,85,4587.981892,67.73464322,1.071414114,1.304720335,0,433624.4138,3263.514076,1383.86726,132438625.8,11508.1982,18.17572534,506.631416,0,245,56.4124,51,1249.457072,35.34766006,0.887652324,0.848915912,0,231,41.0251,34,1114.534323,33.38464203,1.205970606,1.649473002
DMI-MTM,41.22935963,***,-0.229500357,3.500008338,0.214382061,0.170931834,0.061280614,0.247549216,1.934222731,8.954676612,-3.059228163,3.566008771,0.127888332,0.10963918,0.096216304,0.31018753,0.067965951,8.752103503,0,0.733284448,0.332366799,0.34999125,0.011037293,0.105058524,-1.038174569,1.915619097,1,685,135.4957,117.5,8977.58474,94.75011736,1.104385344,1.515170106,10.4816392,491906.5826,4032.815052,1707.849909,178598109.2,13364.06035,16.3012333,408.827765,1,370,75.0249,67,2348.374317,48.46002804,1.001629873,1.343941064,0,320,60.4708,51,2228.179765,47.20359907,1.168883899,1.600043813
BOLL-MTM,39.33022195,***,-0.28170924,1.87298337,0.201965215,0.164210328,0.052192304,0.228456351,1.304111084,3.432578966,-3.013817943,1.936477825,0.115471486,0.102963694,0.086197906,0.293594799,-0.472490502,7.098610612,0,0.769201185,0.39707335,0.418178017,0.011246471,0.106049382,-1.464202083,3.418675965,1,1149,203.671,171,23515.01786,153.3460722,1.342697845,2.392606445,13.3063334,689351.823,5840.656717,2224.470347,403099187.5,20077.33019,15.19115753,344.1959553,1,604,107.2195,93,5702.864006,75.51730931,1.296435859,2.435890871,0,545,96.4515,78,6179.515599,78.60989505,1.369648674,2.348649897
DMI-KDJ,34.96028226,***,-0.247056137,2.960981154,0.195057951,0.150139369,0.060896047,0.246771245,2.152636659,9.998769278,-2.967926137,2.952583784,0.108564222,0.089634287,0.096432535,0.310535884,0.158152163,8.706379317,0,0.823480972,0.386258476,0.41463145,0.015307773,0.123724586,-1.176887576,1.827603717,1,649,140.829,121,9792.722631,98.95818628,1.046412262,1.151129289,10.2189648,728189.8052,4119.729152,1697.255538,228957854.6,15131.35336,21.05359822,725.99375,1,358,80.5852,72,2751.837325,52.45795769,0.94433495,0.931679362,0,316,60.2438,50,2242.827244,47.35849707,1.124358278,1.32393076
DMI-BOLL,36.76164491,***,-0.242778857,3.092310348,0.190928976,0.161710042,0.045820843,0.214058037,1.956515432,11.81526969,-2.900777117,3.068040558,0.104435247,0.097905538,0.080705721,0.284087524,-0.323422086,10.19040737,0,0.909008272,0.376799752,0.403505232,0.016141211,0.127048065,-1.048147769,1.466425249,1,641,123.3587,104,8185.935628,90.47616055,1.304546763,2.168796758,10.6531897,481134.7488,3933.086006,1538.754146,222018274.7,14900.27767,17.62404645,428.658799,1,339,68.7043,60,2110.328494,45.93831184,1.200236556,1.997653663,0,308,54.6544,44,2061.308291,45.40163314,1.350265026,2.190246397
DMI-PSY,32.91598038,***,-0.27149429,2.390279391,0.182727298,0.132886204,0.05043547,0.224578428,1.917225413,7.853165373,-3.039384572,2.441425143,0.096233569,0.079247408,0.085475096,0.292361242,-0.228451665,9.047294849,0,0.769171602,0.325846349,0.341770349,0.008600572,0.09273927,-1.235423469,2.797531785,1,827,165.9862,143,13675.9354,116.9441551,1.134556357,1.568787623,10.753135,780169.2095,4628.098083,1898.811678,291468270.5,17072.44184,20.04915184,641.832988,1,429,90.1625,80,3469.696263,58.90412773,1.045294499,1.3907606,0,398,75.8237,64,3460.440662,58.8255103,1.195034614,1.684412916
BOLL,28.59732522,***,-0.23641673,1.372738513,0.160106267,0.136447038,0.031239016,0.176745626,0.971206148,1.816813679,-2.992652542,1.277696475,0.073612538,0.080127157,0.066260202,0.25741057,-1.299161852,10.14904605,0,0.799982223,0.503078726,0.531938509,0.011750919,0.108401654,-2.208260223,6.695790864,1,2140,353.0663,294,73079.19602,270.3316408,1.422304213,2.804877667,12.8997941,1874041.853,9238.454749,3295.389583,1525113522,39052.70185,23.4026826,824.8498697,1,1112,180.8431,154,17593.91427,132.6420532,1.434019876,3.101350996,0,1028,172.2232,140,19148.29621,138.3773689,1.409732834,2.568655398
KDJ-BOLL,26.09271765,***,-0.231864451,1.917153851,0.156069334,0.121645688,0.037308708,0.193154623,1.351071833,4.030050308,-2.984166101,2.017608976,0.069575605,0.068230978,0.071100943,0.2666476,-0.891295332,9.341182485,0,0.86203924,0.50700984,0.538451184,0.016347759,0.127858356,-1.499950358,3.179033855,1,1045,222.7457,194,24306.82171,155.9064518,1.086767637,1.405521166,11.2778545,849641.4271,5554.26123,2342.617386,390385500,19758.17552,18.8518395,550.4554217,1,549,122.9628,109,6560.716088,80.99824744,0.99130005,1.151404023,0,519,99.7829,84,5742.003768,75.7760105,1.174640643,1.64647426
MACD-BOLL,24.64261656,***,-0.260926401,3.622469595,0.152398736,0.113352156,0.038724655,0.196785811,2.325581636,16.74816719,-2.833447139,3.706473316,0.065905007,0.060831785,0.071525876,0.267443219,-0.446822272,12.40854081,0,0.857081637,0.398994043,0.42528369,0.018467818,0.135896352,-0.98624916,1.221119826,1,544,113.7593,96,6885.028266,82.97607044,1.301034114,2.140612051,10.2196744,424643.3904,3533.736708,1375.350918,148427734.5,12183.09216,15.33580668,342.7579919,1,282,62.6248,55,1710.878313,41.36276481,1.171578102,1.912346785,0,277,51.1345,41,1806.849695,42.50705465,1.365578885,2.210207919
KDJ-ROC,21.73264225,***,-0.267310438,1.890094532,0.14145594,0.106830372,0.029902759,0.172924142,1.490477623,4.551007361,-2.917249977,1.794896973,0.054962211,0.059157745,0.063959244,0.252901649,-1.21863227,10.81084435,0,0.809504536,0.484901107,0.510945176,0.010888732,0.104349085,-1.919724762,5.298268838,1,1647,335.5781,298,52174.92459,228.4183105,0.983923945,1.151873411,12.3777722,668815.1093,7261.573875,3199.93896,502790979.8,22423.00113,12.74680903,235.8605091,1,894,186.8366,168,14833.09741,121.7912042,0.915943408,1.000810076,0,753,148.7415,129,11559.93147,107.5171218,1.068028577,1.354817451
MACD-ROC,19.89182826,***,-0.237228936,1.619713007,0.134141922,0.109735323,0.024240868,0.155694791,1.475815267,5.100330957,-2.849234825,1.270715695,0.047648193,0.058985989,0.057377743,0.239536518,-1.480277233,11.40751303,0,0.899955002,0.339264303,0.357720669,0.01099031,0.104834678,-1.104498545,2.182836748,1,698,140.5049,120,10093.47452,100.4662855,1.175338536,1.710563262,12.2461595,458264.9622,3897.783895,1593.904787,169573258.8,13022.02975,14.76937199,323.8187246,1,356,77.3598,68,2574.25817,50.73714783,1.063746974,1.452224498,0,342,63.1451,52,2550.763322,50.50508214,1.251949943,1.885827107
PSY-BOLL,16.72376007,***,-0.212385339,2.251991294,0.129636738,0.095134283,0.032396107,0.179989187,1.707024687,7.385328495,-2.794329995,2.173857191,0.043143009,0.043079234,0.066550758,0.257974336,-0.930426418,9.701183298,0,0.77773457,0.400122534,0.41721578,0.008522711,0.092318529,-1.60036183,4.738945523,1,1354,259.1955,222,35807.34061,189.2282765,1.235149721,1.912935158,14.63103,1239823.019,6649.890552,2533.562488,666495330.8,25816.57086,21.24205557,722.1884777,1,712,133.6107,117,8587.699315,92.66984038,1.225460154,2.069590548,0,642,125.5848,105,9473.530162,97.33206133,1.238864495,1.802058036
KDJ-MTM,15.45495776,***,-0.232901226,2.33583158,0.124776331,0.091309782,0.027778536,0.166668941,2.059276034,10.92719466,-2.926758452,2.190495199,0.038282602,0.043248405,0.061357442,0.247704344,-1.02153071,11.84075349,0,0.81247461,0.485726668,0.512764481,0.012043584,0.109743262,-1.879118478,4.982311271,1,1381,296.232,260,40468.2124,201.1671255,0.984014094,1.120497226,10.2187874,2795995.031,6749.005661,2845.722157,1326213693,36417.21698,50.53697709,3561.590068,1,773,166.1318,149,11618.38947,107.7886333,0.914140297,0.984017179,0,631,130.1002,112,8891.626323,94.29542048,1.073654484,1.330192694
DMI-WR,14.94338542,***,-0.213352633,1.649048019,0.121428967,0.092983523,0.020799539,0.144220453,1.820303017,6.776522768,-2.685821975,1.516024408,0.034935239,0.047455451,0.054654941,0.233783962,-1.495827197,12.91107257,0,0.870939647,0.451245691,0.478258085,0.01799427,0.134142724,-1.280865732,2.232034025,1,667,139.852,120,9835.457642,99.1738758,1.150334686,1.586224959,15.449638,561112.4138,3733.438304,1520.289508,186860341.1,13669.68694,18.20932684,514.1045858,1,352,79.4938,70,2739.204682,52.33741188,1.036666782,1.288810027,0,321,60.3582,50,2269.828876,47.64272112,1.244804427,1.840995076
WR-BOLL,14.29631155,***,-0.269609556,1.265176395,0.119181468,0.096387879,0.018371054,0.135539861,1.550003009,5.444084654,-2.65258903,1.349957265,0.032687739,0.044937069,0.052278336,0.228644563,-1.737682704,13.43923867,0,0.976721472,0.637407012,0.683263209,0.027180041,0.164863703,-1.704295347,3.45199943,1,1068,217.5533,185,25133.3861,158.5351258,1.28400954,2.022229768,12.7128426,1161917.284,5527.445494,2130.295081,506509331.4,22505.76218,23.91499585,907.4280178,1,552,117.1504,102,6519.217702,80.74167265,1.237294881,1.966977942,0,516,100.4029,83,6180.152187,78.61394397,1.322843646,2.093307597
WR-ROC,11.81415369,***,-0.217049478,1.246260157,0.112984387,0.094553545,0.015837093,0.125845512,1.550433313,6.027424772,-2.991269853,1.336008819,0.026490658,0.044645627,0.050278263,0.22422815,-1.946254373,15.62363696,0,0.878774564,0.56118272,0.597374945,0.01740782,0.131938697,-1.898569968,4.606722486,1,1435,281.9657,237,43416.56978,208.3664315,1.295920547,2.075095304,10.5212407,1971657.554,6781.846144,2545.651047,890574038.6,29842.48714,34.44809064,1963.3592,1,744,155.7401,133,12129.55791,110.1342722,1.24064363,1.899240754,0,691,126.2256,103,9776.25773,98.87496008,1.348327764,2.25809981
MACD,10.43362486,***,-0.255217269,1.253278935,0.109689074,0.097940798,0.014962975,0.12232324,1.216205196,4.580249935,-3.073616166,1.171147543,0.023195345,0.044103702,0.049423242,0.222313387,-2.149757215,16.33829219,0,0.769201185,0.337566578,0.357893324,0.009426775,0.097091578,-1.408849858,2.910999989,1,1165,169.0376,138,17814.95888,133.4726896,1.632989316,4.23559364,12.228664,742105.6232,4775.335157,1758.238923,297394610.7,17245.13296,17.74631205,503.0067128,1,572,91.3489,78,4279.801349,65.42019068,1.478775937,3.660240417,0,593,77.6887,60,4724.938686,68.73818943,1.750519868,4.685920528
MACD-VR,8.630574976,***,-0.25930704,2.783214218,0.106727144,0.085933662,0.02169575,0.147294772,4.617562644,56.91011101,-3.105986556,2.596206895,0.020233415,0.039579736,0.054961541,0.234438779,-0.850998378,21.02924295,0,0.857020426,0.035317047,0,0.00580178,0.076169418,3.874163837,22.33006783,0,83,18.4285,17,134.562944,11.6001269,0.67597659,0.517054562,0,44095.61875,896.0854781,505.7644564,5515627.494,2348.53731,8.153083517,78.71097778,0,80,17.9459,17,129.3575089,11.37354426,0.664841651,0.396304027,0,6,0.4826,0,0.619559196,0.787120827,1.929951239,4.407525316
PSY-WR,9.316756929,***,-0.255064792,1.086167159,0.106329751,0.095792815,0.011383377,0.106692908,0.994061678,3.399776714,-2.971504915,1.08791763,0.019836022,0.043478411,0.045329367,0.212906944,-2.502705869,18.58381364,0,0.909063362,0.545179068,0.576567598,0.014216164,0.119231555,-2.003025065,5.445812872,1,1486,310.0489,265,48487.22683,220.1981536,1.128848993,1.501913304,10.658005,1305465.096,6877.167363,2805.089442,754454144.9,27467.32868,24.4809638,920.9508232,1,790,173.2581,151,14056.81757,118.5614506,1.081317941,1.365859179,0,714,136.7908,115,10460.76671,102.2778897,1.181884152,1.672623891
WR-MTM,8.614928096,***,-0.219708033,1.449422184,0.105612227,0.085679818,0.016259975,0.127514608,1.929802068,8.582342271,-3.007127087,1.331019962,0.019118498,0.035187957,0.049249774,0.221922901,-1.937292991,16.67961664,0,0.873227138,0.546662407,0.580640479,0.018133814,0.134661851,-1.767382182,4.000938057,1,1259,243.2121,204,32824.13733,181.1743286,1.335246108,2.257929744,10.2190535,732723.2842,5840.965811,2252.027388,425646988,20631.21392,15.6265684,366.9716536,1,655,134.6645,115,9058.808021,95.17777062,1.264755219,2.02325327,0,613,108.5476,88,7509.896124,86.65965684,1.402655608,2.516333904
ROC,7.823421598,***,-0.266324727,1.380208966,0.105118651,0.079724112,0.022457567,0.149858491,1.48287721,4.98968616,-3.073913765,1.342013684,0.018624922,0.028212553,0.056675513,0.238066194,-1.43484926,12.01052479,0,0.727206618,0.364011909,0.368049502,0.003402066,0.058327234,-1.916860383,10.43934027,2,4370,738.412,638,284342.6595,533.2379014,1.27148626,2.54408901,17.7604053,3200938.911,16434.03347,6121.538358,4358900044,66021.96638,20.95536281,701.3101015,2,2176,372.2061,326,67919.37476,260.6134585,1.231779058,2.508716998,0,2194,366.2059,311.5,74660.10972,273.2400222,1.315847463,2.621101768
MACD-MTM,7.19534541,***,-0.266491009,1.825149705,0.103556037,0.076925654,0.021534724,0.146747143,1.779502568,7.529726394,-3.081204844,1.517054573,0.017062308,0.029465607,0.056230542,0.237129799,-1.508415904,13.22450643,0,0.769171602,0.330319435,0.349202192,0.011561391,0.107523908,-0.978884914,1.681784154,1,579,124.4601,106,7806.076416,88.3520029,1.192150709,1.778892836,14.1209514,598155.2479,3472.90974,1395.883652,191470822.5,13837.29824,22.12566214,731.6356702,1,309,69.4986,62,2021.472345,44.96078675,1.071551661,1.525970807,0,284,54.9615,45,1952.750293,44.18993429,1.267681579,1.920299847
ARBR,6.640870891,***,-0.246254689,0.962397623,0.100492969,0.101794365,0.009832468,0.099158803,0.259339686,2.460532035,-3.070094068,0.904572153,0.01399924,0.042213938,0.044438445,0.210804282,-2.773047311,20.64931745,0,0.9799804,0.680179909,0.750450746,0.03413438,0.184754918,-1.370331368,1.341014298,0,1536,257.1557,235,26138.99956,161.6755998,0.998880239,2.392357278,0,354185.2442,4635.120628,2748.966098,153064263.1,12371.91429,11.0750157,180.4559484,0,356,96.2764,94,2514.608664,50.14587385,0.346973132,-0.176511762,0,1180,160.8793,141,13272.42137,115.2059954,1.42258384,4.721744905
MACD-KDJ,5.257966002,***,-0.239697786,2.839746222,0.098487782,0.077101324,0.018435279,0.135776576,2.576426687,24.04326939,-2.816371173,2.019155265,0.011994053,0.027256568,0.052035096,0.228112025,-1.631155409,14.67399908,0,0.833298613,0.39370901,0.419750927,0.016443349,0.128231622,-1.07345821,1.522172728,1,614,130.4678,112,8385.994963,91.57507828,1.093537133,1.418190689,10.2202066,385485.0202,3453.423096,1472.648831,130436767.1,11420.89169,14.3900053,310.9299515,1,324,74.4864,66,2303.974412,47.99973346,0.966629914,1.099705939,0,296,55.9814,46,1974.047259,44.43025162,1.193953634,1.686201601
KDJ-WR,5.408361597,***,-0.265461545,1.830086635,0.098333646,0.082955434,0.013078154,0.114359759,1.796615522,13.00217735,-3.043376556,1.907508709,0.011839917,0.031796424,0.047925412,0.218918733,-2.195236743,18.11279115,0,0.952748404,0.657333355,0.708169377,0.027194224,0.164906713,-1.674507071,3.132724508,1,1460,256.8159,223,31867.00191,178.5133102,1.226466481,2.471111979,16.8456286,669255.6917,5444.585794,2415.602987,307394499.2,17532.66948,14.3219573,329.528247,1,839,156.543,139,10792.24798,103.8857448,1.128638602,2.204957951,0,628,100.2729,83,5800.962522,76.16405006,1.368346265,2.859225183
ARBR-BOLL,0.650918039,,-0.237001902,1.404734478,0.087836888,0.083227203,0.00798865,0.089379246,1.013494283,9.573348493,-3.089761149,1.396125815,0.001343159,0.029297679,0.042579694,0.206348476,-2.908421834,23.33472643,0,0.945920381,0.610550284,0.65463733,0.029028727,0.170378187,-1.372667786,2.18423696,0,742,173.0937,159,12074.62878,109.8846158,0.692379127,0.334358835,0,425050.5802,3825.58379,1866.676345,140153776.9,11838.65604,15.28772678,357.9893337,0,279,66.5405,62,1530.271187,39.11868079,0.730852877,0.696012063,0,550,106.5532,96,5516.89966,74.27583496,0.915228666,1.345577523
Buy-Hold,,,-0.255979348,2.986337106,0.086493729,0.05179492,0.034530873,0.185824844,3.734531192,29.97540854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,35.4827,33,570.0139021,23.87496392,0.60340235,-0.001403831,23.422477,54868.30432,1019.405197,639.9547255,5816506.501,2411.743457,8.325367258,88.73422275,1,160,35.4827,33,570.0139021,23.87496392,0.60340235,-0.001403831,0,0,0,0,0,0,0,0
MACD-WR,-1.303462278,,-0.226460429,1.765014657,0.083710474,0.069397859,0.011415846,0.106844965,1.990173358,13.63060789,-2.992607722,1.821432517,-0.002783255,0.019753066,0.045594149,0.213527866,-2.248942644,18.77138233,0,0.857081637,0.434326504,0.462055229,0.021180396,0.145534861,-1.028852963,1.242900491,1,546,108.634,91,6245.117756,79.02605745,1.307759663,2.082181375,10.2194083,263011.8779,2999.141907,1214.179283,97624707.16,9880.521604,12.38360064,208.5921216,1,295,63.9479,56,1760.809467,41.96200027,1.140392332,1.647786598,0,260,44.6861,35,1440.649232,37.95588534,1.435898116,2.426936149
VR-KDJ,-1.362510564,,-0.180184378,0.934193637,0.083495299,0.057626103,0.01380804,0.117507616,0.964827888,1.28589036,-3.02354528,0.913411596,-0.00299843,0.026504656,0.048429272,0.220066518,-2.586765299,17.86227685,0,0.666444518,0.011279622,0,0.001439187,0.037936619,6.09991869,58.45163581,1,107,21.118,20,191.6074367,13.84223381,0.632909977,0.191989869,10.2194083,30900.60983,849.3228165,513.3309635,4341240.274,2083.56432,7.654525103,66.72929007,1,106,20.9198,19,187.9579638,13.70977621,0.623504514,0.164390435,0,6,0.1982,0,0.275544314,0.524923151,3.574034404,17.53651379
MACD-PSY,-1.442830516,,-0.240600674,1.341998686,0.083316308,0.066273313,0.014037444,0.118479721,1.470813064,6.255285328,-2.95973484,1.410452058,-0.00317742,0.017339576,0.048497432,0.220221325,-2.061039984,16.76179954,0,0.714251702,0.355095496,0.374426749,0.009978873,0.099894311,-1.29029637,2.65951405,1,817,154.1466,133,11779.07522,108.5314481,1.151918926,1.730024903,10.447395,661980.2727,3952.815923,1627.188048,216547896.7,14715.56647,20.42308733,635.2910363,1,416,84.4537,76,2989.316188,54.67463935,1.038527947,1.482834764,0,401,69.6929,58,2987.473337,54.65778386,1.237117054,1.919821847
PSY-VR,-2.387541965,,-0.248261089,1.332189478,0.081078484,0.056874721,0.016769654,0.129497699,1.581979015,6.743358838,-3.041381046,1.384704537,-0.005415245,0.017182055,0.051443934,0.226812553,-1.936387524,14.88361326,0,0.928505107,0.042718698,0,0.00675462,0.082186498,3.517021189,19.26597655,0,105,23.1001,21,213.4542254,14.61007274,0.646721354,0.342469083,0,76135.29421,902.6585683,529.4035749,5788819.78,2405.996629,10.24343087,165.1896954,0,100,22.3943,21,203.9896265,14.28249371,0.629125271,0.20029579,0,11,0.7058,0,1.144360796,1.069748006,2.121060428,6.439233425
KDJ,-2.517068194,,-0.278095901,1.454418824,0.080894761,0.06228369,0.014634006,0.120971097,1.949121556,10.46725276,-3.004446325,1.37962737,-0.005598968,0.014349096,0.049479577,0.222440052,-2.083005828,16.9198651,0,0.888872428,0.585397482,0.618806738,0.012409335,0.111397194,-2.008576881,5.449489135,1,2695,545.8625,483.5,134261.1829,366.4166794,1.061133642,1.660323782,25.509589,1289849.821,10215.53178,4660.080607,1089717523,33010.86978,16.41574774,426.5736224,1,1600,315.8993,284,42401.58732,205.9164571,1.034259665,1.797931515,0,1115,229.9632,198,26354.69312,162.3412859,1.119682891,1.600304761
VR-BIAS,-2.681761211,,-0.107042204,0.998093861,0.080642158,0.057493777,0.013249965,0.115108493,0.952335268,1.340400635,-3.022869024,0.838416183,-0.005851571,0.02548526,0.047610714,0.218198795,-2.679770733,19.0438666,0,0.428556123,0.001131372,0,0.000136926,0.011701557,15.7964812,341.6966099,0,107,20.1351,18,179.3221802,13.39112319,0.693941312,0.334448505,0,33050.612,845.2121308,503.4370016,4625835.859,2150.775641,7.87549775,70.92165966,0,107,20.1152,18,178.8452135,13.37330227,0.690147613,0.313722667,0,5,0.0199,0,0.033107301,0.181954117,13.33661729,240.787685
DMI-BIAS,-3.228570357,,-0.221941629,1.747461249,0.079509051,0.060909005,0.012774111,0.113022612,2.267922308,14.35030391,-2.96118819,1.60950518,-0.006984678,0.011706566,0.046802846,0.216339654,-2.030633425,17.67597167,0,0.957426438,0.524390596,0.565412253,0.033431846,0.182843774,-1.032745345,0.87758931,0,640,124.5956,106,7972.312692,89.28780819,1.130231578,1.518170179,0,729893.8169,3523.671786,1398.928856,186383463.6,13652.23292,23.81452421,960.0575344,0,340,70.5411,62,2118.066117,46.02245232,1.034455749,1.303578638,0,322,54.0545,44,1946.720402,44.12165457,1.198324494,1.69247652
KDJ-BIAS,-3.340656369,,-0.259655304,1.415751026,0.079185104,0.063013031,0.013255407,0.115132128,1.929762154,9.651127767,-2.733255013,1.514441194,-0.007308625,0.012926026,0.04786386,0.218778107,-1.90525344,14.98710986,0,0.991658403,0.697006631,0.752685137,0.033152638,0.182078659,-1.416260356,2.028816291,1,1587,261.4967,230,32741.24471,180.9454192,1.309373688,3.57604579,15.6584023,619642.8227,5735.513698,2513.256776,368704651.1,19201.68355,14.35132341,302.057363,1,866,150.9656,135,9932.556672,99.66221286,1.27191741,3.485565276,0,730,110.5311,95,6799.97343,82.46195141,1.366168148,3.766504307
